mE,M_phi
685,359395.01371265226
686,359657.2358493906
687,359919.26690327225
688,360181.1072913345
689,360442.75742909976
690,360704.21773058316
691,360965.48860830057
692,361226.57047327585
693,361487.4637350485
694,361748.16880168114
695,362008.686079767
696,362269.01597443735
697,362529.15888936864
698,362789.11522679
699,363048.8853874907
700,363308.4697708265
701,363567.86877472815
702,363827.0827957074
703,364086.1122288643
704,364344.9574678946
705,364603.61890509643
706,364862.0969313773
707,365120.39193626103
708,365378.50430789456
709,365636.4344330546
710,365894.1826971548
711,366151.749484252
712,366409.1351770534
713,366666.34015692247
714,366923.36480388633
715,367180.20949664206
716,367436.87461256265
717,367693.3605277043
718,367949.6676168124
719,368205.7962533279
720,368461.7468093938
721,368717.5196558614
722,368973.1151622967
723,369228.5336969861
724,369483.7756269435
725,369738.84131791553
726,369993.7311343883
727,370248.4454395933
728,370502.98459551315
729,370757.348962888
730,371011.53890122136
731,371265.55476878595
732,371519.3969226296
733,371773.0657185813
734,372026.56151125656
735,372279.88465406396
736,372533.03549921006
737,372786.0143977055
738,373038.8216993708
739,373291.45775284205
740,373543.92290557583
741,373796.2175038558
742,374048.3418927974
743,374300.29641635384
744,374552.08141732146
745,374803.69723734487
746,375055.14421692304
747,375306.422695414
748,375557.53301104024
749,375808.47550089477
750,376059.2505009453
751,376309.85834604036
752,376560.2993699141
753,376810.5739051915
754,377060.68228339375
755,377310.624834943
756,377560.4018891678
757,377810.0137743081
758,378059.46081752
759,378308.74334488105
760,378557.86168139527
761,378806.8161509977
762,379055.60707655986
763,379304.23477989394
764,379552.6995817586
765,379801.0018018628
766,380049.14175887115
767,380297.11977040884
768,380544.93615306576
769,380792.59122240177
770,381040.0852929513
771,381287.41867822787
772,381534.59169072856
773,381781.6046419389
774,382028.4578423375
775,382275.15160140046
776,382521.6862276057
777,382768.0620284379
778,383014.2793103927
779,383260.338378981
780,383506.23953873373
781,383751.98309320613
782,383997.5693449819
783,384242.99859567796
784,384488.2711459484
785,384733.3872954887
786,384978.34734304063
787,385223.15158639575
788,385467.8003224002
789,385712.2938469585
790,385956.63245503796
791,386200.8164406727
792,386444.84609696787
793,386688.72171610367
794,386932.44358933973
795,387176.0120070185
796,387419.42725857004
797,387662.6896325154
798,387905.79941647145
799,388148.7568971535
800,388391.5623603808
801,388634.2160910792
802,388876.7183732858
803,389119.0694901524
804,389361.26972394995
805,389603.31935607153
806,389845.21866703674
807,390086.96793649555
808,390328.5674432315
809,390570.01746516634
810,390811.3182793629
811,391052.47016202915
812,391293.47338852216
813,391534.3282333512
814,391775.03497018176
815,392015.5938718393
816,392256.00521031243
817,392496.2692567569
818,392736.3862814989
819,392976.35655403853
820,393216.18034305394
821,393455.8579164041
822,393695.38954113243
823,393934.775483471
824,394174.01600884274
825,394413.11138186604
826,394652.0618663575
827,394890.8677253354
828,395129.5292210234
829,395368.04661485343
830,395606.4201674695
831,395844.6501387305
832,396082.7367877141
833,396320.6803727197
834,396558.48115127155
835,396796.13938012224
836,397033.6553152561
837,397271.0292118918
838,397508.26132448646
839,397745.35190673784
840,397982.30121158826
841,398219.10949122725
842,398455.77699709526
843,398692.30397988606
844,398928.6906895504
845,399164.93737529876
846,399401.0442856046
847,399637.0116682074
848,399872.8397701155
849,400108.52883760945
850,400344.0791162447
851,400579.49085085455
852,400814.7642855536
853,401049.89966374007
854,401284.89722809935
855,401519.7572206063
856,401754.47988252866
857,401989.06545442966
858,402223.514176171
859,402457.82628691575
860,402692.00202513114
861,402926.0416285913
862,403159.9453343802
863,403393.71337889467
864,403627.3459978464
865,403860.84342626575
866,404094.20589850383
867,404327.4336482354
868,404560.5269084615
869,404793.48591151275
870,405026.31088905095
871,405259.00207207294
872,405491.5596909123
873,405723.98397524294
874,405956.2751540808
875,406188.4334557873
876,406420.45910807117
877,406652.3523379919
878,406884.11337196163
879,407115.7424357482
880,407347.2397544775
881,407578.6055526359
882,407809.8400540731
883,408040.9434820044
884,408271.91605901334
885,408502.7580070543
886,408733.46954745456
887,408964.0509009172
888,409194.5022875237
889,409424.8239267358
890,409655.0160373983
891,409885.0788377416
892,410115.01254538377
893,410344.81737733335
894,410574.49354999146
895,410804.04127915425
896,411033.4607800151
897,411262.7522671674
898,411491.9159546064
899,411720.952055732
900,411949.86078335065
901,412178.6423496779
902,412407.29696634074
903,412635.8248443796
904,412864.226194251
905,413092.50122582936
906,413320.65014840977
907,413548.6731707098
908,413776.57050087204
909,414004.3423464659
910,414231.9889144905
911,414459.51041137596
912,414686.9070429864
913,414914.1790146218
914,415141.3265310199
915,415368.3497963588
916,415595.2490142588
917,415822.0243877846
918,416048.6761194476
919,416275.2044112078
920,416501.609464476
921,416727.89148011553
922,416954.050658445
923,417180.0871992399
924,417406.00130173477
925,417631.79316462524
926,417857.46298607014
927,418083.0109636934
928,418308.43729458604
929,418533.7421753086
930,418758.9258018923
931,418983.9883698422
932,419208.9300741378
933,419433.7511092364
934,419658.45166907384
935,419883.0319470675
936,420107.49213611736
937,420331.8324286086
938,420556.05301641294
939,420780.1540908911
940,421004.13584289455
941,421227.9984627669
942,421451.74214034673
943,421675.3670649685
944,421898.87342546514
945,422122.2614101696
946,422345.53120691655
947,422568.6830030446
948,422791.716985398
949,423014.633340328
950,423237.4322536956
951,423460.1139108726
952,423682.6784967435
953,423905.1261957075
954,424127.45719168027
955,424349.6716680957
956,424571.76980790746
957,424793.751793591
958,425015.61780714535
959,425237.36803009437
960,425459.0026434892
961,425680.52182790946
962,425901.92576346506
963,426123.21462979825
964,426344.3886060847
965,426565.44787103584
966,426786.3926029
967,427007.22297946457
968,427227.9391780572
969,427448.5413755477
970,427669.0297483501
971,427889.40447242325
972,428109.66572327353
973,428329.81367595604
974,428549.8485050758
975,428769.7703847903
976,428989.57948881027
977,429209.27599040174
978,429428.86006238754
979,429648.3318771486
980,429867.6916066261
981,430086.9394223224
982,430306.07549530326
983,430525.0999961988
984,430744.0130952053
985,430962.81496208685
986,431181.5057661768
987,431400.0856763792
988,431618.5548611704
989,431836.9134886007
990,432055.1617262954
991,432273.29974145704
992,432491.327700866
993,432709.2457708829
994,432927.05411744944
995,433144.7529060899
996,433362.3423019131
997,433579.8224696133
998,433797.1935734721
999,434014.45577735954
1000,434231.60924473574
1001,434448.65413865226
1002,434665.59062175354
1003,434882.41885627824
1004,435099.139004061
1005,435315.7512265333
1006,435532.2556847254
1007,435748.6525392673
1008,435964.94195039046
1009,436181.124077929
1010,436397.199081321
1011,436613.1671196103
1012,436829.02835144714
1013,437044.7829350903
1014,437260.43102840794
1015,437475.9727888792
1016,437691.4083735953
1017,437906.7379392609
1018,438121.96164219605
1019,438337.0796383366
1020,438552.0920832359
1021,438766.99913206644
1022,438981.80093962053
1023,439196.49766031216
1024,439411.08944817795
1025,439625.5764568786
1026,439839.9588397002
1027,440054.2367495552
1028,440268.4103389842
1029,440482.47976015665
1030,440696.4451648727
1031,440910.3067045638
1032,441124.0645302946
1033,441337.71879276383
1034,441551.26964230544
1035,441764.71722889016
1036,441978.0617021265
1037,442191.30321126216
1038,442404.4419051849
1039,442617.4779324241
1040,442830.41144115187
1041,443043.24257918424
1042,443255.97149398236
1043,443468.5983326536
1044,443681.12324195274
1045,443893.5463682834
1046,444105.867857699
1047,444318.08785590396
1048,444530.20650825487
1049,444742.2239597615
1050,444954.14035508846
1051,445165.95583855576
1052,445377.67055414035
1053,445589.2846454769
1054,445800.79825585935
1055,446012.2115282418
1056,446223.5246052397
1057,446434.7376291308
1058,446645.8507418567
1059,446856.8640850234
1060,447067.7777999029
1061,447278.59202743403
1062,447489.30690822355
1063,447699.92258254735
1064,447910.4391903516
1065,448120.8568712535
1066,448331.17576454295
1067,448541.3960091828
1068,448751.51774381095
1069,448961.5411067402
1070,449171.4662359604
1071,449381.29326913925
1072,449591.0223436227
1073,449800.65359643666
1074,450010.187164288
1075,450219.6231835653
1076,450428.96179034014
1077,450638.2031203679
1078,450847.3473090891
1079,451056.39449162997
1080,451265.3448028039
1081,451474.1983771124
1082,451682.95534874575
1083,451891.61585158453
1084,452100.1800192001
1085,452308.64798485587
1086,452517.0198815086
1087,452725.29584180855
1088,452933.47599810135
1089,453141.56048242835
1090,453349.54942652816
1091,453557.4429618369
1092,453765.24121949007
1093,453972.9443303225
1094,454180.5524248703
1095,454388.06563337106
1096,454595.48408576514
1097,454802.8079116968
1098,455010.03724051465
1099,455217.1722012729
1100,455424.2129227324
1101,455631.1595333613
1102,455838.01216133626
1103,456044.77093454305
1104,456251.4359805777
1105,456458.00742674764
1106,456664.4854000719
1107,456870.8700272826
1108,457077.1614348261
1109,457283.35974886303
1110,457489.46509526996
1111,457695.47759963985
1112,457901.39738728333
1113,458107.2245832292
1114,458312.95931222563
1115,458518.6016987408
1116,458724.1518669639
1117,458929.6099408059
1118,459134.9760439007
1119,459340.2502996057
1120,459545.43283100286
1121,459750.5237608992
1122,459955.5232118283
1123,460160.4313060504
1124,460365.2481655539
1125,460569.97391205595
1126,460774.6086670031
1127,460979.15255157254
1128,461183.60568667244
1129,461387.9681929434
1130,461592.24019075854
1131,461796.4218002252
1132,462000.5131411849
1133,462204.51433321484
1134,462408.42549562815
1135,462612.2467474753
1136,462815.97820754425
1137,463019.61999436194
1138,463223.1722261946
1139,463426.6350210486
1140,463630.0084966716
1141,463833.2927705531
1142,464036.48795992485
1143,464239.5941817624
1144,464442.6115527853
1145,464645.54018945846
1146,464848.38020799216
1147,465051.1317243433
1148,465253.7948542161
1149,465456.36971306306
1150,465658.8564160853
1151,465861.2550782339
1152,466063.5658142098
1153,466265.78873846564
1154,466467.92396520544
1155,466669.97160838626
1156,466871.9317817184
1157,467073.8045986664
1158,467275.59017244936
1159,467477.28861604247
1160,467678.90004217706
1161,467880.4245633415
1162,468081.8622917821
1163,468283.21333950374
1164,468484.4778182705
1165,468685.65583960654
1166,468886.74751479673
1167,469087.75295488746
1168,469288.6722706871
1169,469489.5055727672
1170,469690.2529714626
1171,469890.91457687254
1172,470091.49049886136
1173,470291.9808470591
1174,470492.3857308619
1175,470692.7052594334
1176,470892.93954170484
1177,471093.0886863758
1178,471293.15280191554
1179,471493.1319965624
1180,471693.02637832594
1181,471892.83605498663
1182,472092.5611340969
1183,472292.20172298164
1184,472491.7579287393
1185,472691.22985824186
1186,472890.6176181361
1187,473089.921314844
1188,473289.1410545635
1189,473488.27694326907
1190,473687.3290867123
1191,473886.29759042297
1192,474085.18255970895
1193,474283.9840996576
1194,474482.70231513627
1195,474681.3373107924
1196,474879.8891910547
1197,475078.3580601338
1198,475276.7440220224
1199,475475.04718049674
1200,475673.26763911615
1201,475871.40550122457
1202,476069.46086995094
1203,476267.4338482096
1204,476465.32453870116
1205,476663.1330439129
1206,476860.85946611967
1207,477058.50390738423
1208,477256.0664695581
1209,477453.54725428205
1210,477650.94636298664
1211,477848.2638968929
1212,478045.4999570131
1213,478242.65464415104
1214,478439.7280589029
1215,478636.72030165774
1216,478833.63147259806
1217,479030.46167170035
1218,479227.2109987361
1219,479423.8795532717
1220,479620.4674346696
1221,479816.9747420885
1222,480013.40157448436
1223,480209.7480306105
1224,480406.0142090187
1225,480602.2002080592
1226,480798.3061258817
1227,480994.33206043585
1228,481190.27810947166
1229,481386.1443705403
1230,481581.93094099447
1231,481777.6379179891
1232,481973.2653984818
1233,482168.8134792335
1234,482364.2822568089
1235,482559.6718275773
1236,482754.9822877128
1237,482950.2137331951
1238,483145.36625980993
1239,483340.43996314966
1240,483535.4349386137
1241,483730.35128140944
1242,483925.1890865521
1243,484119.9484488662
1244,484314.6294629852
1245,484509.2322233524
1246,484703.75682422187
1247,484898.2033596583
1248,485092.5719235378
1249,485286.8626095488
1250,485481.07551119186
1251,485675.2107217807
1252,485869.26833444275
1253,486063.2484421195
1254,486257.1511375668
1255,486450.97651335585
1256,486644.7246618735
1257,486838.39567532256
1258,487031.9896457227
1259,487225.5066649105
1260,487418.9468245406
1261,487612.31021608564
1262,487805.59693083673
1263,487998.8070599045
1264,488191.94069421926
1265,488384.9979245311
1266,488577.9788414113
1267,488770.8835352521
1268,488963.71209626744
1269,489156.4646144934
1270,489349.14117978886
1271,489541.7418818357
1272,489734.26681013947
1273,489926.7160540299
1274,490119.08970266115
1275,490311.3878450128
1276,490503.6105698897
1277,490695.7579659229
1278,490887.83012157003
1279,491079.8271251154
1280,491271.74906467105
1281,491463.596028177
1282,491655.3681034016
1283,491847.0653779421
1284,492038.68793922506
1285,492230.2358745068
1286,492421.7092708741
1287,492613.1082152443
1288,492804.43279436615
1289,492995.68309481966
1290,493186.8592030175
1291,493377.9612052044
1292,493568.9891874585
1293,493759.94323569123
1294,493950.8234356479
1295,494141.6298729083
1296,494332.362632887
1297,494523.02180083387
1298,494713.60746183444
1299,494904.1197008106
1300,495094.5586025204
1301,495284.92425155937
1302,495475.21673236036
1303,495665.4361291939
1304,495855.5825261695
1305,496045.65600723453
1306,496235.65665617643
1307,496425.58455662185
1308,496615.43979203753
1309,496805.22244573105
1310,496994.9326008503
1311,497184.57034038496
1312,497374.13574716664
1313,497563.62890386867
1314,497753.0498930073
1315,497942.39879694174
1316,498131.6756978749
1317,498320.88067785307
1318,498510.0138187671
1319,498699.0752023528
1320,498888.0649101906
1321,499076.98302370677
1322,499265.8296241734
1323,499454.60479270894
1324,499643.30861027865
1325,499831.9411576949
1326,500020.5025156175
1327,500208.9927645545
1328,500397.41198486194
1329,500585.7602567449
1330,500774.03766025766
1331,500962.2442753037
1332,501150.3801816367
1333,501338.4454588607
1334,501526.4401864306
1335,501714.3644436521
1336,501902.2183096825
1337,502090.00186353124
1338,502277.7151840598
1339,502465.3583499825
1340,502652.9314398667
1341,502840.43453213305
1342,503027.8677050562
1343,503215.2310367651
1344,503402.52460524294
1345,503589.7484883283
