mE,M_phi
350,253586.60444046633
351,253948.6002848312
352,254310.0807944162
353,254671.0481636226
354,255031.50457132148
355,255391.45218100757
356,255750.89314095047
357,256109.82958434455
358,256468.2636294562
359,256826.1973797701
360,257183.63292413286
361,257540.57233689548
362,257897.01767805385
363,258252.9709933871
364,258608.434314595
365,258963.4096594329
366,259317.89903184556
367,259671.90442209906
368,260025.42780691115
369,260378.47114958006
370,260731.03640011168
371,261083.1254953451
372,261434.740359077
373,261785.88290218398
374,262136.55502274403
375,262486.75860615587
376,262836.4955252575
377,263185.7676404428
378,263534.57679977734
379,263882.92483911203
380,264230.8135821961
381,264578.2448407884
382,264925.2204147677
383,265271.74209224095
384,265617.8116496514
385,265963.43085188436
386,266308.60145237256
387,266653.3251931995
388,266997.60380520264
389,267341.4390080742
390,267684.8325104615
391,268027.7860100664
392,268370.3011937426
393,268712.3797375932
394,269054.0233070654
395,269395.2335570462
396,269736.012131955
397,270076.3606658365
398,270416.2807824519
399,270755.7740953698
400,271094.8422080546
401,271433.486713956
402,271771.7091965952
403,272109.51122965215
404,272446.8943770507
405,272783.86019304284
406,273120.4102222926
407,273456.5459999584
408,273792.2690517748
409,274127.58089413337
410,274462.48303416255
411,274796.97696980654
412,275131.06418990373
413,275464.7461742638
414,275798.0243937443
415,276130.90031032613
416,276463.3753771886
417,276795.4510387832
418,277127.128730907
419,277458.4098807748
420,277789.2959070913
421,278119.7882201213
422,278449.88822176034
423,278779.5973056039
424,279108.9168570159
425,279437.84825319686
426,279766.3928632509
427,280094.5520482524
428,280422.3271613114
429,280749.71954763925
430,281076.73054461257
431,281403.3614818372
432,281729.61368121096
433,282055.4884569868
434,282380.9871158335
435,282706.11095689767
436,283030.86127186386
437,283355.2393450147
438,283679.24645328947
439,284002.88386634353
440,284326.15284660616
441,284649.05464933754
442,284971.59052268637
443,285293.7617077454
444,285615.56943860755
445,285937.0149424213
446,286258.09943944466
447,286578.8241430996
448,286899.1902600256
449,287219.1989901323
450,287538.85152665235
451,287858.1490561928
452,288177.092758787
453,288495.6838079451
454,288813.9233707047
455,289131.8126076805
456,289449.3526731137
457,289766.54471492104
458,290083.3898747432
459,290399.88928799244
460,290716.0440839006
461,291031.8553855655
462,291347.3243099979
463,291662.45196816744
464,291977.23946504836
465,292291.68789966457
466,292605.7983651345
467,292919.57194871554
468,293233.0097318475
469,293546.1127901969
470,293858.8821936991
471,294171.3190066016
472,294483.42428750603
473,294795.19908941013
474,295106.6444597491
475,295417.7614404365
476,295728.55106790527
477,296039.01437314774
478,296349.15238175564
479,296658.96611395956
480,296968.4565846681
481,297277.6248035066
482,297586.47177485604
483,297894.9984978902
484,298203.20596661424
485,298511.09516990156
486,298818.667091531
487,299125.92271022336
488,299432.86299967795
489,299739.48892860854
490,300045.80146077875
491,300351.80155503785
492,300657.4901653553
493,300962.8682408558
494,301267.9367258535
495,301572.696559886
496,301877.1486777484
497,302181.2940095265
498,302485.1334806299
499,302788.668011825
500,303091.89851926756
501,303394.8259145348
502,303697.45110465767
503,303999.7749921521
504,304301.7984750507
505,304603.52244693396
506,304904.94779696065
507,305206.07540989894
508,305506.90616615635
509,305807.44094180985
510,306107.68060863565
511,306407.6260341388
512,306707.2780815819
513,307006.63761001517
514,307305.70547430386
515,307604.48252515786
516,307902.9696091592
517,308201.16756879044
518,308499.077242462
519,308796.69946454023
520,309094.0350653741
521,309391.0848713227
522,309687.84970478155
523,309984.3303842097
524,310280.5277241556
525,310576.44253528345
526,310872.075624399
527,311167.42779447534
528,311462.49984467804
529,311757.29257039085
530,312051.8067632402
531,312346.04321112024
532,312640.00269821775
533,312933.68600503565
534,313227.0939084182
535,313520.2271815743
536,313813.08659410133
537,314105.6729120091
538,314397.9868977429
539,314690.0293102066
540,314981.80090478586
541,315273.30243337085
542,315564.534644379
543,315855.4982827769
544,316146.19409010326
545,316436.6228044903
546,316726.7851606862
547,317016.6818900762
548,317306.3137207045
549,317595.6813772957
550,317884.7855812753
551,318173.62705079146
552,318462.2065007353
553,318750.524642762
554,319038.5821853105
555,319326.3798336247
556,319613.918289773
557,319901.19825266855
558,320188.22041808895
559,320474.98547869606
560,320761.4941240551
561,321047.74704065465
562,321333.74491192517
563,321619.48841825855
564,321904.9782370267
565,322190.2150426003
566,322475.19950636756
567,322759.93229675235
568,323044.41407923296
569,323328.6455163597
570,323612.6272677733
571,323896.3599902226
572,324179.8443375823
573,324463.0809608705
574,324746.0705082663
575,325028.8136251267
576,325311.31095400464
577,325593.56313466467
578,325875.57080410124
579,326157.3345965545
580,326438.85514352756
581,326720.1330738026
582,327001.1690134572
583,327281.9635858812
584,327562.51741179224
585,327842.8311092518
586,328122.90529368154
587,328402.7405778783
588,328682.3375720306
589,328961.69688373373
590,329240.81911800493
591,329519.704877299
592,329798.35476152366
593,330076.76936805394
594,330354.94929174776
595,330632.8951249605
596,330910.6074575597
597,331188.0868769396
598,331465.3339680358
599,331742.3493133397
600,332019.13349291234
601,332295.68708439916
602,332572.0106630437
603,332848.10480170156
604,333123.97007085435
605,333399.6070386234
606,333675.01627078356
607,333950.19833077653
608,334225.1537797244
609,334499.8831764428
610,334774.3870774548
611,335048.6660370032
612,335322.72060706414
613,335596.5513373598
614,335870.15877537156
615,336143.5434663524
616,336416.70595333976
617,336689.6467771683
618,336962.3664764819
619,337234.8655877467
620,337507.14464526286
621,337779.20418117713
622,338051.04472549463
623,338322.66680609144
624,338594.0709487259
625,338865.25767705106
626,339136.22751262615
627,339406.9809749283
628,339677.51858136436
629,339947.84084728203
630,340217.9482859817
631,340487.8414087279
632,340757.52072476
633,341026.98674130405
634,341296.23996358353
635,341565.28089483065
636,341834.11003629706
637,342102.7278872649
638,342371.13494505774
639,342639.331705051
640,342907.31866068294
641,343175.09630346484
642,343442.6651229922
643,343710.0256069544
644,343977.1782411457
645,344244.1235094749
646,344510.86189397634
647,344777.3938748195
648,345043.7199303191
649,345309.8405369454
650,345575.75616933405
651,345841.4673002956
652,346106.9744008259
653,346372.2779401155
654,346637.3783855593
655,346902.2762027662
656,347166.9718555688
657,347431.46580603265
658,347695.7585144657
659,347959.8504394279
660,348223.74203774
661,348487.4337644933
662,348750.9260730584
663,349014.21941509435
664,349277.31424055813
665,349540.2109977129
666,349802.9101331374
667,350065.4120917348
668,350327.71731674124
669,350589.82624973456
670,350851.7393306433
671,351113.45699775516
672,351374.97968772525
673,351636.3078355851
674,351897.44187475054
675,352158.3822370308
676,352419.12935263605
677,352679.6836501863
678,352940.04555671924
679,353200.21549769863
680,353460.1938970222
681,353719.98117703
682,353979.5777585121
683,354238.98406071664
684,354498.2005013579
685,354757.2274966239
686,355016.06546118425
687,355274.7148081981
688,355533.1759493215
689,355791.4492947154
690,356049.535253053
691,356307.4342315273
692,356565.14663585863
693,356822.67287030217
694,357080.0133376554
695,357337.16843926505
696,357594.13857503503
697,357850.92414343316
698,358107.5255414986
699,358363.943164849
700,358620.1774076875
701,358876.22866281
702,359132.09732161206
703,359387.783774096
704,359643.2884088774
705,359898.6116131927
706,360153.75377290533
707,360408.7152725132
708,360663.4964951549
709,360918.09782261646
710,361172.5196353386
711,361426.76231242274
712,361680.8262316376
713,361934.7117694263
714,362188.41930091236
715,362441.9491999062
716,362695.3018389119
717,362948.47758913325
718,363201.47682048014
719,363454.2999015751
720,363706.9471997594
721,363959.41908109916
722,364211.7159103917
723,364463.83805117174
724,364715.7858657172
725,364967.5597150556
726,365219.15995897027
727,365470.58695600554
728,365721.84106347355
729,365972.92263745976
730,366223.832032829
731,366474.56960323115
732,366725.13570110704
733,366975.53067769436
734,367225.7548830331
735,367475.8086659715
736,367725.69237417186
737,367975.40635411564
738,368224.95095110964
739,368474.32650929125
740,368723.5333716342
741,368972.5718799536
742,369221.44237491215
743,369470.1451960249
744,369718.680681665
745,369967.0491690691
746,370215.2509943423
747,370463.2864924641
748,370711.15599729295
749,370958.85984157206
750,371206.3983569344
751,371453.7718739079
752,371700.9807219204
753,371948.025229305
754,372194.9057233054
755,372441.62253008015
756,372688.17597470863
757,372934.5663811954
758,373180.79407247517
759,373426.85937041824
760,373672.762595835
761,373918.50406848086
762,374164.08410706115
763,374409.50302923593
764,374654.7611516247
765,374899.8587898117
766,375144.79625834955
767,375389.573870765
768,375634.1919395632
769,375878.6507762323
770,376122.95069124823
771,376367.09199407895
772,376611.0749931899
773,376854.8999960472
774,377098.56730912346
775,377342.07723790145
776,377585.43008687906
777,377828.6261595732
778,378071.66575852485
779,378314.5491853031
780,378557.2767405094
781,378799.84872378205
782,379042.2654338008
783,379284.5271682906
784,379526.63422402606
785,379768.5868968361
786,380010.38548160746
787,380252.0302722895
788,380493.5215618981
789,380734.8596425196
790,380976.0448053155
791,381217.0773405259
792,381457.9575374741
793,381698.6856845703
794,381939.2620693158
795,382179.68697830697
796,382419.9606972393
797,382660.0835109112
798,382900.055703228
799,383139.87755720597
800,383379.5493549762
801,383619.07137778815
802,383858.4439060141
803,384097.6672191523
804,384336.7415958316
805,384575.66731381405
806,384814.44464999996
807,385053.07388043083
808,385291.5552802932
809,385529.88912392274
810,385768.07568480715
811,386006.1152355907
812,386244.0080480775
813,386481.7543932349
814,386719.3545411971
815,386956.80876126955
816,387194.1173219312
817,387431.28049083904
818,387668.2985348313
819,387905.17171993095
820,388141.90031134913
821,388378.4845734886
822,388614.92476994736
823,388851.2211635221
824,389087.3740162111
825,389323.3835892184
826,389559.2501429565
827,389794.97393705
828,390030.55523033906
829,390265.9942808824
830,390501.2913459609
831,390736.4466820807
832,390971.4605449764
833,391206.33318961447
834,391441.0648701966
835,391675.6558401624
836,391910.10635219316
837,392144.4166582147
838,392378.58700940054
839,392612.61765617534
840,392846.5088482174
841,393080.2608344626
842,393313.8738631067
843,393547.3481816091
844,393780.6840366953
845,394013.88167436013
846,394246.9413398712
847,394479.8632777713
848,394712.64773188165
849,394945.2949453051
850,395177.80516042863
851,395410.1786189267
852,395642.4155617637
853,395874.51622919773
854,396106.48086078244
855,396338.3096953708
856,396570.0029711173
857,396801.5609254813
858,397032.9837952296
859,397264.2718164392
860,397495.4252245006
861,397726.44425411976
862,397957.32913932175
863,398188.080113453
864,398418.69740918395
865,398649.1812585125
866,398879.5318927656
867,399109.7495426032
868,399339.83443801996
869,399569.78680834844
870,399799.60688226175
871,400029.2948877758
872,400258.8510522525
873,400488.2756024021
874,400717.5687642857
875,400946.73076331796
876,401175.7618242699
877,401404.6621712709
878,401633.4320278118
879,401862.07161674765
880,402090.5811602992
881,402318.96088005643
882,402547.2109969807
883,402775.3317314074
884,403003.3233030478
885,403231.1859309925
886,403458.919833713
887,403686.52522906486
888,403914.00233428954
889,404141.3513660173
890,404368.57254026923
891,404595.6660724598
892,404822.6321773993
893,405049.4710692961
894,405276.1829617592
895,405502.7680678003
896,405729.2265998362
897,405955.5587696914
898,406181.7647886
899,406407.84486720845
900,406633.7992155773
901,406859.62804318394
902,407085.3315589248
903,407310.90997111716
904,407536.36348750215
905,407761.69231524627
906,407986.89666094386
907,408211.97673061973
908,408436.9327297305
909,408661.76486316766
910,408886.4733352591
911,409111.0583497717
912,409335.5201099133
