mE,M_phi
783,233376.75614618865
784,233525.71195105655
785,233674.57274431078
786,233823.33870741533
787,233972.01002125716
788,234120.58686614886
789,234269.06942183126
790,234417.4578674757
791,234565.75238168676
792,234713.95314250488
793,234862.0603274085
794,235010.07411331683
795,235157.99467659227
796,235305.82219304275
797,235453.5568379242
798,235601.1987859431
799,235748.74821125873
800,235896.20528748565
801,236043.57018769602
802,236190.8430844222
803,236338.02414965857
804,236485.11355486454
805,236632.11147096637
806,236779.01806835982
807,236925.8335169122
808,237072.5579859648
809,237219.19164433514
810,237365.73466031923
811,237512.18720169383
812,237658.54943571874
813,237804.82152913886
814,237951.00364818666
815,238097.09595858408
816,238243.098625545
817,238389.01181377732
818,238534.835687485
819,238680.57041037042
820,238826.2161456364
821,238971.77305598833
822,239117.24130363637
823,239262.6210502975
824,239407.91245719753
825,239553.11568507346
826,239698.23089417518
827,239843.2582442679
828,239988.1978946339
829,240133.0500040747
830,240277.81473091323
831,240422.49223299552
832,240567.08266769297
833,240711.58619190432
834,240856.0029620575
835,241000.33313411174
836,241144.5768635595
837,241288.7343054283
838,241432.8056142829
839,241576.79094422705
840,241720.6904489054
841,241864.5042815056
842,242008.23259476
843,242151.8755409476
844,242295.433271896
845,242438.90593898323
846,242582.29369313963
847,242725.59668484953
848,242868.8150641534
849,243011.9489806494
850,243154.99858349553
851,243297.96402141094
852,243440.8454426782
853,243583.64299514494
854,243726.35682622562
855,243868.9870829031
856,244011.5339117309
857,244153.99745883452
858,244296.37786991324
859,244438.67529024213
860,244580.88986467346
861,244723.02173763866
862,244865.0710531498
863,245007.03795480152
864,245148.92258577258
865,245290.72508882766
866,245432.44560631877
867,245574.08428018732
868,245715.64125196546
869,245857.11666277784
870,245998.51065334323
871,246139.8233639762
872,246281.05493458873
873,246422.20550469172
874,246563.27521339688
875,246704.2641994178
876,246845.17260107218
877,246986.00055628293
878,247126.74820258003
879,247267.41567710193
880,247408.0031165972
881,247548.51065742594
882,247688.93843556155
883,247829.2865865921
884,247969.55524572183
885,248109.74454777286
886,248249.85462718652
887,248389.88561802494
888,248529.8376539724
889,248669.71086833713
890,248809.5053940524
891,248949.22136367834
892,249088.85890940315
893,249228.41816304476
894,249367.89925605216
895,249507.3023195068
896,249646.6274841242
897,249785.87488025517
898,249925.04463788742
899,250064.1368866469
900,250203.15175579916
901,250342.08937425076
902,250480.94987055074
903,250619.733372892
904,250758.4400091126
905,250897.06990669717
906,251035.62319277826
907,251174.09999413782
908,251312.5004372083
909,251450.82464807443
910,251589.07275247393
911,251727.2448757994
912,251865.34114309942
913,252003.36167907986
914,252141.30660810522
915,252279.1760542
916,252416.97014104994
917,252554.68899200318
918,252692.33273007182
919,252829.90147793302
920,252967.3953579303
921,253104.81449207495
922,253242.15900204686
923,253379.42900919646
924,253516.62463454547
925,253653.74599878807
926,253790.79322229268
927,253927.76642510254
928,254064.66572693747
929,254201.49124719476
930,254338.2431049505
931,254474.92141896082
932,254611.52630766307
933,254748.05788917688
934,254884.5162813056
935,255020.9016015374
936,255157.21396704618
937,255293.4534946932
938,255429.6203010279
939,255565.71450228922
940,255701.7362144067
941,255837.6855530017
942,255973.5626333885
943,256109.36757057533
944,256245.10047926567
945,256380.7614738594
946,256516.35066845373
947,256651.86817684452
948,256787.3141125273
949,256922.6885886983
950,257057.99171825574
951,257193.22361380083
952,257328.38438763883
953,257463.47415178016
954,257598.49301794145
955,257733.44109754678
956,257868.31850172856
957,258003.12534132865
958,258137.86172689951
959,258272.52776870507
960,258407.12357672208
961,258541.64926064078
962,258676.1049298663
963,258810.49069351947
964,258944.8066604379
965,259079.05293917708
966,259213.2296380113
967,259347.3368649348
968,259481.37472766268
969,259615.34333363178
970,259749.24279000208
971,259883.07320365732
972,260016.83468120612
973,260150.52732898307
974,260284.15125304955
975,260417.7065591948
976,260551.1933529369
977,260684.61173952383
978,260817.9618239341
979,260951.2437108782
980,261084.4575047991
981,261217.60330987352
982,261350.68123001288
983,261483.6913688639
984,261616.63382980993
985,261749.50871597166
986,261882.31613020823
987,262015.056175118
988,262147.7289530395
989,262280.33456605254
990,262412.87311597867
991,262545.34470438265
992,262677.749432573
993,262810.08740160306
994,262942.3587122717
995,263074.5634651245
996,263206.7017604544
997,263338.7736983026
998,263470.77937845985
999,263602.71890046657
1000,263734.59236361436
1001,263866.3998669467
1002,263998.1415092596
1003,264129.8173891029
1004,264261.4276047807
1005,264392.97225435247
1006,264524.45143563364
1007,264655.865246197
1008,264787.2137833728
1009,264918.4971442501
1010,265049.71542567754
1011,265180.86872426403
1012,265311.95713637973
1013,265442.9807581567
1014,265573.93968548987
1015,265704.83401403786
1016,265835.6638392236
1017,265966.42925623554
1018,266097.1303600279
1019,266227.76724532194
1020,266358.34000660665
1021,266488.84873813944
1022,266619.29353394697
1023,266749.67448782595
1024,266879.99169334397
1025,267010.24524384015
1026,267140.43523242633
1027,267270.5617519871
1028,267400.6248951813
1029,267530.6247544424
1030,267660.5614219794
1031,267790.43498977757
1032,267920.245549599
1033,268049.99319298397
1034,268179.6780112508
1035,268309.30009549734
1036,268438.8595366015
1037,268568.35642522195
1038,268697.7908517986
1039,268827.162906554
1040,268956.47267949325
1041,269085.7202604055
1042,269214.90573886427
1043,269344.029204228
1044,269473.0907456412
1045,269602.090452035
1046,269731.02841212775
1047,269859.90471442585
1048,269988.71944722434
1049,270117.4726986079
1050,270246.1645564511
1051,270374.7951084195
1052,270503.3644419702
1053,270631.8726443524
1054,270760.3198026083
1055,270888.70600357366
1056,271017.0313338786
1057,271145.2958799481
1058,271273.49972800293
1059,271401.6429640601
1060,271529.72567393346
1061,271657.7479432348
1062,271785.70985737414
1063,271913.61150156055
1064,272041.4529608025
1065,272169.23431990895
1066,272296.95566349
1067,272424.6170759572
1068,272552.2186415243
1069,272679.76044420816
1070,272807.24256782915
1071,272934.6650960117
1072,273062.02811218536
1073,273189.33169958496
1074,273316.5759412516
1075,273443.7609200329
1076,273570.88671858417
1077,273697.95341936854
1078,273824.96110465785
1079,273951.9098565331
1080,274078.7997568853
1081,274205.6308874157
1082,274332.40332963713
1083,274459.1171648736
1084,274585.7724742618
1085,274712.36933875113
1086,274838.90783910465
1087,274965.38805589965
1088,275091.81006952777
1089,275218.1739601965
1090,275344.4798079288
1091,275470.7276925644
1092,275596.91769376
1093,275723.0498909901
1094,275849.12436354737
1095,275975.14119054336
1096,276101.10045090906
1097,276227.0022233955
1098,276352.84658657416
1099,276478.6336188379
1100,276604.363398401
1101,276730.03600330034
1102,276855.65151139547
1103,276981.21000036935
1104,277106.7115477289
1105,277232.15623080585
1106,277357.54412675666
1107,277482.8753125635
1108,277608.14986503497
1109,277733.3678608061
1110,277858.5293763395
1111,277983.6344879254
1112,278108.68327168253
1113,278233.6758035584
1114,278358.6121593301
1115,278483.4924146048
1116,278608.31664481986
1117,278733.084925244
1118,278857.7973309774
1119,278982.45393695246
1120,279107.05481793405
1121,279231.6000485203
1122,279356.089703143
1123,279480.5238560681
1124,279604.9025813964
1125,279729.22595306375
1126,279853.4940448418
1127,279977.7069303386
1128,280101.86468299874
1129,280225.9673761042
1130,280350.0150827747
1131,280474.00787596835
1132,280597.94582848175
1133,280721.829012951
1134,280845.6575018521
1135,280969.43136750086
1136,281093.1506820543
1137,281216.8155175104
1138,281340.4259457091
1139,281463.9820383324
1140,281587.4838669049
1141,281710.9315027948
1142,281834.32501721353
1143,281957.66448121687
1144,282080.94996570516
1145,282204.18154142407
1146,282327.3592789645
1147,282450.48324876366
1148,282573.55352110503
1149,282696.57016611926
1150,282819.5332537846
1151,282942.44285392674
1152,283065.29903622024
1153,283188.10187018814
1154,283310.85142520297
1155,283433.5477704871
1156,283556.1909751127
1157,283678.7811080031
1158,283801.3182379325
1159,283923.80243352655
1160,284046.2337632631
1161,284168.6122954724
1162,284290.93809833773
1163,284413.2112398953
1164,284535.43178803567
1165,284657.5998105032
1166,284779.71537489706
1167,284901.7785486716
1168,285023.7893991365
1169,285145.74799345765
1170,285267.6543986572
1171,285389.5086816142
1172,285511.3109090647
1173,285633.0611476029
1174,285754.7594636806
1175,285876.4059236086
1176,285998.00059355627
1177,286119.54353955254
1178,286241.0348274861
1179,286362.4745231058
1180,286483.8626920212
1181,286605.19939970283
1182,286726.4847114826
1183,286847.71869255445
1184,286968.9014079744
1185,287090.03292266134
1186,287211.113301397
1187,287332.14260882675
1188,287453.12090945983
1189,287574.0482676697
1190,287694.9247476945
1191,287815.7504136376
1192,287936.52532946767
1193,288057.2495590193
1194,288177.92316599336
1195,288298.5462139574
1196,288419.1187663461
1197,288539.6408864613
1198,288660.112637473
1199,288780.5340824192
1200,288900.9052842065
1201,289021.2263056105
1202,289141.4972092763
1203,289261.7180577185
1204,289381.88891332207
1205,289502.00983834226
1206,289622.0808949053
1207,289742.10214500874
1208,289862.0736505215
1209,289981.9954731848
1210,290101.86767461203
1211,290221.69031628943
1212,290341.4634595761
1213,290461.18716570485
1214,290580.8614957823
1215,290700.48651078925
1216,290820.06227158086
1217,290939.5888388875
1218,291059.0662733147
1219,291178.4946353435
1220,291297.87398533116
1221,291417.2043835111
1222,291536.4858899936
1223,291655.71856476576
1224,291774.90246769245
1225,291894.03765851597
1226,292013.1241968568
1227,292132.1621422141
1228,292251.15155396546
1229,292370.0924913679
1230,292488.9850135579
1231,292607.8291795516
1232,292726.6250482456
1233,292845.3726784168
1234,292964.07212872285
1235,293082.7234577029
1236,293201.3267237775
1237,293319.88198524906
1238,293438.3893003021
1239,293556.8487270037
1240,293675.260323304
1241,293793.6241470361
1242,293911.9402559168
1243,294030.2087075466
1244,294148.42955941014
1245,294266.6028688769
1246,294384.72869320074
1247,294502.8070895211
1248,294620.83811486256
1249,294738.8218261356
1250,294856.758280137
1251,294974.6475335497
1252,295092.48964294343
1253,295210.28466477524
1254,295328.03265538934
