mE,mPhi,delta
2,387.5379273999644,2.4775770081052503e-09
2,378.97805056273586,2.5906890550009024e-09
2,425.9806997216073,2.0507955939073427e-09
2,386.345970723328,2.4928787762591552e-09
2,416.3273745694448,2.146948761156171e-09
2,373.7653092034087,2.6634075710047917e-09
2,388.73914814470737,2.4622983846098224e-09
2,413.69777679263456,2.1743138585139782e-09
2,385.5916901141321,2.502635209363027e-09
2,390.6461373999651,2.4383315643810605e-09
2,370.1348240641444,2.7158770660989756e-09
2,419.3800060896973,2.1158242885584295e-09
2,360.8892279890694,2.8567167510811063e-09
2,380.4368156588188,2.5708720259288743e-09
2,353.8596784495419,2.971260627053808e-09
2,361.22260793641806,2.8514498037050272e-09
2,363.9029927155641,2.8096276226182095e-09
2,359.89894502516256,2.8724481962725382e-09
2,391.2773388699795,2.430475724710377e-09
2,371.8198129139407,2.6913338142777243e-09
2,409.0685245718152,2.22377608570133e-09
2,397.8645543005449,2.350708811876958e-09
2,375.742364023141,2.63547119990385e-09
2,425.2887421486198,2.057470937499886e-09
2,427.44939195082156,2.036734264603181e-09
2,410.12619351594714,2.212327530544072e-09
2,373.24218859873184,2.6708737313316625e-09
2,354.20245630912893,2.9655166992969177e-09
2,412.65401521693076,2.185321050360014e-09
2,378.7081387458497,2.594380860351059e-09
2,371.1641336130591,2.7008446353932438e-09
2,365.4755202796767,2.7855181706977083e-09
2,372.2836346017965,2.684636245028187e-09
2,421.3737812581011,2.095859781836759e-09
2,385.3318805900272,2.5060090444867203e-09
2,412.21886166646794,2.1899347451505457e-09
2,376.6189143099714,2.6232257084400275e-09
2,384.88074029381687,2.5118836912048956e-09
2,369.83057734116966,2.7203444324686314e-09
2,395.33647472374815,2.3808513965356077e-09
2,367.0060062975674,2.762349999115388e-09
2,419.6807265665544,2.1127948288081563e-09
2,378.2524191839396,2.600632042227768e-09
2,392.02230939675286,2.421252673628005e-09
2,363.42290132685383,2.817050596663767e-09
2,367.17790223057983,2.759765941109373e-09
2,409.8272438664518,2.2155544813573128e-09
2,379.1318754663433,2.588588589174954e-09
2,419.2123715250274,2.1175158689849654e-09
2,402.39171200902564,2.298142763956412e-09
2,415.80314149676036,2.1523628501230604e-09
2,363.42586903618405,2.8170046208690376e-09
2,399.34695652459317,2.3332994059895743e-09
2,387.95944131427893,2.472199515847128e-09
2,395.66037147340927,2.3769572656591597e-09
2,391.72910190516984,2.424876432367921e-09
2,411.18845274190136,2.2009180330148996e-09
2,381.48558892299604,2.55676479767833e-09
2,377.42709879000694,2.612010745979064e-09
2,360.69167460751333,2.859844712011814e-09
2,412.0187229139348,2.1920616127900954e-09
2,356.50038939472444,2.9274367175356927e-09
2,410.62710399292104,2.2069363339509664e-09
2,389.12759563505097,2.45738785229297e-09
2,359.4957118251497,2.8788911255672293e-09
2,404.2487661308095,2.2770887068192204e-09
2,428.67980409736833,2.0250652545044013e-09
2,426.2353377324977,2.0483472644185148e-09
2,366.71681768785294,2.7667054762147557e-09
2,377.976063178232,2.604433873366401e-09
2,380.37027240044245,2.571771046403941e-09
2,371.5477870413293,2.6952735233633134e-09
2,396.1194739746917,2.371453934566542e-09
